Name;Version;Company Name
Microsoft.SqlServer.Management.Sdk.Sfc.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Management.SmartAdminPolicies.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Management.SmartAdminPolicies.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Management.SmoMetadataProvider.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.SmoMetadataProvider.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Management.SqlParser.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Management.SqlParser.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Management.SystemMetadataProvider.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.SystemMetadataProvider.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Management.Utility.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.Utility.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Management.UtilityEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.UtilityEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Management.XEvent.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.XEvent.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Management.XEventDbScoped.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.XEventDbScoped.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Management.XEventDbScopedEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.Management.XEventDbScopedEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Management.XEventEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
